config_id,testFile,api,transferSize,blockSize,segmentCount,numTasks,filePerProc,useStridedDatatype,setAlignment,useO_DIRECT,fsync,LUSTRE_STRIPE_SIZE,LUSTRE_STRIPE_WIDTH
1,test00001,POSIX,4K,1M,1,4,0,0,4K,0,0,1M,1
2,test00002,POSIX,4K,1M,1,4,0,0,4K,0,0,1M,4
3,test00003,POSIX,4K,1M,1,4,0,0,4K,0,0,4M,1
4,test00004,POSIX,4K,1M,1,4,0,0,4K,0,0,4M,4
5,test00005,POSIX,4K,1M,1,4,0,0,4K,0,1,1M,1
6,test00006,POSIX,4K,1M,1,4,0,0,4K,0,1,1M,4
7,test00007,POSIX,4K,1M,1,4,0,0,4K,0,1,4M,1
8,test00008,POSIX,4K,1M,1,4,0,0,4K,0,1,4M,4
9,test00009,POSIX,4K,1M,1,4,0,0,4K,1,0,1M,1
10,test00010,POSIX,4K,1M,1,4,0,0,4K,1,0,1M,4
11,test00011,POSIX,4K,1M,1,4,0,0,4K,1,0,4M,1
12,test00012,POSIX,4K,1M,1,4,0,0,4K,1,0,4M,4
13,test00013,POSIX,4K,1M,1,4,0,0,4K,1,1,1M,1
14,test00014,POSIX,4K,1M,1,4,0,0,4K,1,1,1M,4
15,test00015,POSIX,4K,1M,1,4,0,0,4K,1,1,4M,1
16,test00016,POSIX,4K,1M,1,4,0,0,4K,1,1,4M,4
17,test00017,POSIX,4K,1M,1,4,0,0,1M,0,0,1M,1
18,test00018,POSIX,4K,1M,1,4,0,0,1M,0,0,1M,4
19,test00019,POSIX,4K,1M,1,4,0,0,1M,0,0,4M,1
20,test00020,POSIX,4K,1M,1,4,0,0,1M,0,0,4M,4
21,test00021,POSIX,4K,1M,1,4,0,0,1M,0,1,1M,1
22,test00022,POSIX,4K,1M,1,4,0,0,1M,0,1,1M,4
23,test00023,POSIX,4K,1M,1,4,0,0,1M,0,1,4M,1
24,test00024,POSIX,4K,1M,1,4,0,0,1M,0,1,4M,4
25,test00025,POSIX,4K,1M,1,4,0,0,1M,1,0,1M,1
26,test00026,POSIX,4K,1M,1,4,0,0,1M,1,0,1M,4
27,test00027,POSIX,4K,1M,1,4,0,0,1M,1,0,4M,1
28,test00028,POSIX,4K,1M,1,4,0,0,1M,1,0,4M,4
29,test00029,POSIX,4K,1M,1,4,0,0,1M,1,1,1M,1
30,test00030,POSIX,4K,1M,1,4,0,0,1M,1,1,1M,4
31,test00031,POSIX,4K,1M,1,4,0,0,1M,1,1,4M,1
32,test00032,POSIX,4K,1M,1,4,0,0,1M,1,1,4M,4
33,test00033,POSIX,4K,1M,1,4,0,1,4K,0,0,1M,1
34,test00034,POSIX,4K,1M,1,4,0,1,4K,0,0,1M,4
35,test00035,POSIX,4K,1M,1,4,0,1,4K,0,0,4M,1
36,test00036,POSIX,4K,1M,1,4,0,1,4K,0,0,4M,4
37,test00037,POSIX,4K,1M,1,4,0,1,4K,0,1,1M,1
38,test00038,POSIX,4K,1M,1,4,0,1,4K,0,1,1M,4
39,test00039,POSIX,4K,1M,1,4,0,1,4K,0,1,4M,1
40,test00040,POSIX,4K,1M,1,4,0,1,4K,0,1,4M,4
41,test00041,POSIX,4K,1M,1,4,0,1,4K,1,0,1M,1
42,test00042,POSIX,4K,1M,1,4,0,1,4K,1,0,1M,4
43,test00043,POSIX,4K,1M,1,4,0,1,4K,1,0,4M,1
44,test00044,POSIX,4K,1M,1,4,0,1,4K,1,0,4M,4
45,test00045,POSIX,4K,1M,1,4,0,1,4K,1,1,1M,1
46,test00046,POSIX,4K,1M,1,4,0,1,4K,1,1,1M,4
47,test00047,POSIX,4K,1M,1,4,0,1,4K,1,1,4M,1
48,test00048,POSIX,4K,1M,1,4,0,1,4K,1,1,4M,4
49,test00049,POSIX,4K,1M,1,4,0,1,1M,0,0,1M,1
50,test00050,POSIX,4K,1M,1,4,0,1,1M,0,0,1M,4
51,test00051,POSIX,4K,1M,1,4,0,1,1M,0,0,4M,1
52,test00052,POSIX,4K,1M,1,4,0,1,1M,0,0,4M,4
53,test00053,POSIX,4K,1M,1,4,0,1,1M,0,1,1M,1
54,test00054,POSIX,4K,1M,1,4,0,1,1M,0,1,1M,4
55,test00055,POSIX,4K,1M,1,4,0,1,1M,0,1,4M,1
56,test00056,POSIX,4K,1M,1,4,0,1,1M,0,1,4M,4
57,test00057,POSIX,4K,1M,1,4,0,1,1M,1,0,1M,1
58,test00058,POSIX,4K,1M,1,4,0,1,1M,1,0,1M,4
59,test00059,POSIX,4K,1M,1,4,0,1,1M,1,0,4M,1
60,test00060,POSIX,4K,1M,1,4,0,1,1M,1,0,4M,4
61,test00061,POSIX,4K,1M,1,4,0,1,1M,1,1,1M,1
62,test00062,POSIX,4K,1M,1,4,0,1,1M,1,1,1M,4
63,test00063,POSIX,4K,1M,1,4,0,1,1M,1,1,4M,1
64,test00064,POSIX,4K,1M,1,4,0,1,1M,1,1,4M,4
65,test00065,POSIX,4K,1M,1,4,1,0,4K,0,0,1M,1
66,test00066,POSIX,4K,1M,1,4,1,0,4K,0,0,1M,4
67,test00067,POSIX,4K,1M,1,4,1,0,4K,0,0,4M,1
68,test00068,POSIX,4K,1M,1,4,1,0,4K,0,0,4M,4
69,test00069,POSIX,4K,1M,1,4,1,0,4K,0,1,1M,1
70,test00070,POSIX,4K,1M,1,4,1,0,4K,0,1,1M,4
71,test00071,POSIX,4K,1M,1,4,1,0,4K,0,1,4M,1
72,test00072,POSIX,4K,1M,1,4,1,0,4K,0,1,4M,4
73,test00073,POSIX,4K,1M,1,4,1,0,4K,1,0,1M,1
74,test00074,POSIX,4K,1M,1,4,1,0,4K,1,0,1M,4
75,test00075,POSIX,4K,1M,1,4,1,0,4K,1,0,4M,1
76,test00076,POSIX,4K,1M,1,4,1,0,4K,1,0,4M,4
77,test00077,POSIX,4K,1M,1,4,1,0,4K,1,1,1M,1
78,test00078,POSIX,4K,1M,1,4,1,0,4K,1,1,1M,4
79,test00079,POSIX,4K,1M,1,4,1,0,4K,1,1,4M,1
80,test00080,POSIX,4K,1M,1,4,1,0,4K,1,1,4M,4
81,test00081,POSIX,4K,1M,1,4,1,0,1M,0,0,1M,1
82,test00082,POSIX,4K,1M,1,4,1,0,1M,0,0,1M,4
83,test00083,POSIX,4K,1M,1,4,1,0,1M,0,0,4M,1
84,test00084,POSIX,4K,1M,1,4,1,0,1M,0,0,4M,4
85,test00085,POSIX,4K,1M,1,4,1,0,1M,0,1,1M,1
86,test00086,POSIX,4K,1M,1,4,1,0,1M,0,1,1M,4
87,test00087,POSIX,4K,1M,1,4,1,0,1M,0,1,4M,1
88,test00088,POSIX,4K,1M,1,4,1,0,1M,0,1,4M,4
89,test00089,POSIX,4K,1M,1,4,1,0,1M,1,0,1M,1
90,test00090,POSIX,4K,1M,1,4,1,0,1M,1,0,1M,4
91,test00091,POSIX,4K,1M,1,4,1,0,1M,1,0,4M,1
92,test00092,POSIX,4K,1M,1,4,1,0,1M,1,0,4M,4
93,test00093,POSIX,4K,1M,1,4,1,0,1M,1,1,1M,1
94,test00094,POSIX,4K,1M,1,4,1,0,1M,1,1,1M,4
95,test00095,POSIX,4K,1M,1,4,1,0,1M,1,1,4M,1
96,test00096,POSIX,4K,1M,1,4,1,0,1M,1,1,4M,4
97,test00097,POSIX,4K,1M,1,4,1,1,4K,0,0,1M,1
98,test00098,POSIX,4K,1M,1,4,1,1,4K,0,0,1M,4
99,test00099,POSIX,4K,1M,1,4,1,1,4K,0,0,4M,1
100,test00100,POSIX,4K,1M,1,4,1,1,4K,0,0,4M,4
101,test00101,POSIX,4K,1M,1,4,1,1,4K,0,1,1M,1
102,test00102,POSIX,4K,1M,1,4,1,1,4K,0,1,1M,4
103,test00103,POSIX,4K,1M,1,4,1,1,4K,0,1,4M,1
104,test00104,POSIX,4K,1M,1,4,1,1,4K,0,1,4M,4
105,test00105,POSIX,4K,1M,1,4,1,1,4K,1,0,1M,1
106,test00106,POSIX,4K,1M,1,4,1,1,4K,1,0,1M,4
107,test00107,POSIX,4K,1M,1,4,1,1,4K,1,0,4M,1
108,test00108,POSIX,4K,1M,1,4,1,1,4K,1,0,4M,4
109,test00109,POSIX,4K,1M,1,4,1,1,4K,1,1,1M,1
110,test00110,POSIX,4K,1M,1,4,1,1,4K,1,1,1M,4
111,test00111,POSIX,4K,1M,1,4,1,1,4K,1,1,4M,1
112,test00112,POSIX,4K,1M,1,4,1,1,4K,1,1,4M,4
113,test00113,POSIX,4K,1M,1,4,1,1,1M,0,0,1M,1
114,test00114,POSIX,4K,1M,1,4,1,1,1M,0,0,1M,4
115,test00115,POSIX,4K,1M,1,4,1,1,1M,0,0,4M,1
116,test00116,POSIX,4K,1M,1,4,1,1,1M,0,0,4M,4
117,test00117,POSIX,4K,1M,1,4,1,1,1M,0,1,1M,1
118,test00118,POSIX,4K,1M,1,4,1,1,1M,0,1,1M,4
119,test00119,POSIX,4K,1M,1,4,1,1,1M,0,1,4M,1
120,test00120,POSIX,4K,1M,1,4,1,1,1M,0,1,4M,4
121,test00121,POSIX,4K,1M,1,4,1,1,1M,1,0,1M,1
122,test00122,POSIX,4K,1M,1,4,1,1,1M,1,0,1M,4
123,test00123,POSIX,4K,1M,1,4,1,1,1M,1,0,4M,1
124,test00124,POSIX,4K,1M,1,4,1,1,1M,1,0,4M,4
125,test00125,POSIX,4K,1M,1,4,1,1,1M,1,1,1M,1
126,test00126,POSIX,4K,1M,1,4,1,1,1M,1,1,1M,4
127,test00127,POSIX,4K,1M,1,4,1,1,1M,1,1,4M,1
128,test00128,POSIX,4K,1M,1,4,1,1,1M,1,1,4M,4
129,test00129,POSIX,4K,1M,1,16,0,0,4K,0,0,1M,1
130,test00130,POSIX,4K,1M,1,16,0,0,4K,0,0,1M,4
131,test00131,POSIX,4K,1M,1,16,0,0,4K,0,0,4M,1
132,test00132,POSIX,4K,1M,1,16,0,0,4K,0,0,4M,4
133,test00133,POSIX,4K,1M,1,16,0,0,4K,0,1,1M,1
134,test00134,POSIX,4K,1M,1,16,0,0,4K,0,1,1M,4
135,test00135,POSIX,4K,1M,1,16,0,0,4K,0,1,4M,1
136,test00136,POSIX,4K,1M,1,16,0,0,4K,0,1,4M,4
137,test00137,POSIX,4K,1M,1,16,0,0,4K,1,0,1M,1
138,test00138,POSIX,4K,1M,1,16,0,0,4K,1,0,1M,4
139,test00139,POSIX,4K,1M,1,16,0,0,4K,1,0,4M,1
140,test00140,POSIX,4K,1M,1,16,0,0,4K,1,0,4M,4
141,test00141,POSIX,4K,1M,1,16,0,0,4K,1,1,1M,1
142,test00142,POSIX,4K,1M,1,16,0,0,4K,1,1,1M,4
143,test00143,POSIX,4K,1M,1,16,0,0,4K,1,1,4M,1
144,test00144,POSIX,4K,1M,1,16,0,0,4K,1,1,4M,4
145,test00145,POSIX,4K,1M,1,16,0,0,1M,0,0,1M,1
146,test00146,POSIX,4K,1M,1,16,0,0,1M,0,0,1M,4
147,test00147,POSIX,4K,1M,1,16,0,0,1M,0,0,4M,1
148,test00148,POSIX,4K,1M,1,16,0,0,1M,0,0,4M,4
149,test00149,POSIX,4K,1M,1,16,0,0,1M,0,1,1M,1
150,test00150,POSIX,4K,1M,1,16,0,0,1M,0,1,1M,4
151,test00151,POSIX,4K,1M,1,16,0,0,1M,0,1,4M,1
152,test00152,POSIX,4K,1M,1,16,0,0,1M,0,1,4M,4
153,test00153,POSIX,4K,1M,1,16,0,0,1M,1,0,1M,1
154,test00154,POSIX,4K,1M,1,16,0,0,1M,1,0,1M,4
155,test00155,POSIX,4K,1M,1,16,0,0,1M,1,0,4M,1
156,test00156,POSIX,4K,1M,1,16,0,0,1M,1,0,4M,4
157,test00157,POSIX,4K,1M,1,16,0,0,1M,1,1,1M,1
158,test00158,POSIX,4K,1M,1,16,0,0,1M,1,1,1M,4
159,test00159,POSIX,4K,1M,1,16,0,0,1M,1,1,4M,1
160,test00160,POSIX,4K,1M,1,16,0,0,1M,1,1,4M,4
161,test00161,POSIX,4K,1M,1,16,0,1,4K,0,0,1M,1
162,test00162,POSIX,4K,1M,1,16,0,1,4K,0,0,1M,4
163,test00163,POSIX,4K,1M,1,16,0,1,4K,0,0,4M,1
164,test00164,POSIX,4K,1M,1,16,0,1,4K,0,0,4M,4
165,test00165,POSIX,4K,1M,1,16,0,1,4K,0,1,1M,1
166,test00166,POSIX,4K,1M,1,16,0,1,4K,0,1,1M,4
167,test00167,POSIX,4K,1M,1,16,0,1,4K,0,1,4M,1
168,test00168,POSIX,4K,1M,1,16,0,1,4K,0,1,4M,4
169,test00169,POSIX,4K,1M,1,16,0,1,4K,1,0,1M,1
170,test00170,POSIX,4K,1M,1,16,0,1,4K,1,0,1M,4
171,test00171,POSIX,4K,1M,1,16,0,1,4K,1,0,4M,1
172,test00172,POSIX,4K,1M,1,16,0,1,4K,1,0,4M,4
173,test00173,POSIX,4K,1M,1,16,0,1,4K,1,1,1M,1
174,test00174,POSIX,4K,1M,1,16,0,1,4K,1,1,1M,4
175,test00175,POSIX,4K,1M,1,16,0,1,4K,1,1,4M,1
176,test00176,POSIX,4K,1M,1,16,0,1,4K,1,1,4M,4
177,test00177,POSIX,4K,1M,1,16,0,1,1M,0,0,1M,1
178,test00178,POSIX,4K,1M,1,16,0,1,1M,0,0,1M,4
179,test00179,POSIX,4K,1M,1,16,0,1,1M,0,0,4M,1
180,test00180,POSIX,4K,1M,1,16,0,1,1M,0,0,4M,4
181,test00181,POSIX,4K,1M,1,16,0,1,1M,0,1,1M,1
182,test00182,POSIX,4K,1M,1,16,0,1,1M,0,1,1M,4
183,test00183,POSIX,4K,1M,1,16,0,1,1M,0,1,4M,1
184,test00184,POSIX,4K,1M,1,16,0,1,1M,0,1,4M,4
185,test00185,POSIX,4K,1M,1,16,0,1,1M,1,0,1M,1
186,test00186,POSIX,4K,1M,1,16,0,1,1M,1,0,1M,4
187,test00187,POSIX,4K,1M,1,16,0,1,1M,1,0,4M,1
188,test00188,POSIX,4K,1M,1,16,0,1,1M,1,0,4M,4
189,test00189,POSIX,4K,1M,1,16,0,1,1M,1,1,1M,1
190,test00190,POSIX,4K,1M,1,16,0,1,1M,1,1,1M,4
191,test00191,POSIX,4K,1M,1,16,0,1,1M,1,1,4M,1
192,test00192,POSIX,4K,1M,1,16,0,1,1M,1,1,4M,4
193,test00193,POSIX,4K,1M,1,16,1,0,4K,0,0,1M,1
194,test00194,POSIX,4K,1M,1,16,1,0,4K,0,0,1M,4
195,test00195,POSIX,4K,1M,1,16,1,0,4K,0,0,4M,1
196,test00196,POSIX,4K,1M,1,16,1,0,4K,0,0,4M,4
197,test00197,POSIX,4K,1M,1,16,1,0,4K,0,1,1M,1
198,test00198,POSIX,4K,1M,1,16,1,0,4K,0,1,1M,4
199,test00199,POSIX,4K,1M,1,16,1,0,4K,0,1,4M,1
